y x
1.558 0.614
1.615 -0.243
0.861 0.264
1.627 0.190
1.336 0.310
0.908 0.191
0.957 -0.103
0.733 -0.068
1.636 0.100
1.305 0.297
1.595 0.045
0.962 -0.018
0.973 0.503
1.551 -0.040
0.992 0.202
1.238 0.255
0.905 -0.319
0.905 -0.267
1.213 -0.267
0.738 0.299
0.955 0.456
1.158 0.528
0.820 0.168
1.462 -0.256
1.617 -0.159
1.445 0.654
1.492 -0.010
0.778 0.186
1.592 -0.034
1.567 -0.185
1.585 -0.294
0.991 0.578
1.480 0.583
1.518 0.423
1.368 -0.144
1.112 -0.163
1.395 0.348
0.934 -0.254
1.646 0.490
1.232 0.225
1.535 0.137
1.081 0.024
0.944 -0.289
1.334 0.104
1.259 -0.249
1.044 -0.173
0.815 -0.051
1.520 0.089
1.093 0.305
0.927 -0.299
1.223 0.195
1.344 0.134
1.383 0.428
0.936 0.192
1.177 -0.077
1.111 0.260
1.607 0.618
0.976 0.348
0.750 -0.226
1.215 0.581
0.864 0.470
1.588 0.017
1.399 0.555
1.079 0.408
1.445 0.303
1.565 0.606
1.670 0.281
0.887 -0.038
0.930 0.282
1.471 -0.235
1.396 0.431
1.063 0.230
0.881 0.446
0.758 0.698
1.526 0.347
0.987 0.632
1.680 -0.141
1.497 0.563
1.382 0.423
1.168 0.648
1.695 0.107
1.528 0.158
0.891 0.052
0.854 0.636
1.688 -0.153
1.330 0.137
0.848 0.026
0.979 0.481
0.736 -0.078
1.172 -0.246
1.362 0.340
1.571 -0.058
1.021 0.279
1.010 0.323
0.989 0.422
1.530 0.548
1.714 0.286
1.232 0.597
1.511 0.313
1.126 0.027
0.852 0.552
0.863 0.493
1.292 0.711
1.508 0.721
0.885 0.249
1.322 0.061
1.253 0.107
1.280 -0.248
1.195 0.202
1.058 0.153
1.537 0.438
1.248 0.403
1.134 -0.040
0.761 0.035
1.356 0.640
1.589 0.270
1.747 0.222
1.596 0.170
1.507 0.750
1.069 -0.066
1.384 0.295
1.125 -0.231
1.155 0.192
1.173 0.629
1.353 0.502
1.667 0.518
1.263 0.516
1.412 0.420
1.402 0.179
1.403 0.407
1.711 0.557
1.622 0.543
1.592 0.382
1.127 0.042
1.486 0.652
1.324 -0.069
1.613 0.265
1.248 -0.173
1.293 0.527
1.206 0.138
1.441 -0.196
1.292 0.731
1.477 0.188
1.476 0.392
0.997 -0.004
1.675 0.058
0.865 0.621
1.314 0.159
1.304 0.529
0.962 0.446
1.508 0.609
1.065 0.405
1.028 0.357
0.970 0.587
1.665 0.128
1.022 0.763
1.507 0.644
0.832 0.701
1.425 0.119
1.235 0.565
1.590 -0.006
1.431 -0.029
1.779 0.250
1.720 0.536
1.415 0.070
1.336 -0.052
0.948 0.526
1.172 0.563
1.053 0.530
1.532 0.119
0.921 0.211
1.308 -0.085
1.003 -0.128
1.415 0.706
1.035 -0.147
1.523 0.634
1.784 0.433
1.164 0.659
0.940 0.515
0.919 0.223
1.319 0.202
0.994 0.057
1.646 0.289
1.407 0.039
1.543 0.158
1.423 0.739
1.825 -0.123
1.629 0.689
1.152 0.215
1.414 0.752
1.234 0.714
1.594 -0.012
1.750 -0.148
0.983 0.502
0.895 0.218
0.969 0.302
1.680 0.746
0.877 -0.098
1.683 -0.115
1.117 -0.039
0.935 -0.128
1.483 0.590
1.533 0.692
1.510 0.237
1.479 0.818
1.491 0.092
0.911 0.786
1.442 0.201
1.458 0.413
1.376 -0.086
1.208 0.267
1.055 0.735
1.280 0.519
1.571 0.601
1.579 0.611
1.111 0.836
1.011 0.779
1.716 0.714
0.915 -0.046
1.676 0.333
1.235 0.849
0.905 0.397
1.310 -0.005
1.263 0.575
1.751 -0.107
1.394 -0.040
1.671 -0.044
0.906 0.256
1.605 0.186
1.003 0.668
1.681 0.730
1.179 0.300
1.122 0.434
1.207 0.216
1.662 0.835
1.464 -0.016
1.533 0.329
1.869 0.601
1.717 0.584
1.419 0.780
1.716 0.176
1.042 0.256
1.407 -0.016
1.233 0.462
0.932 0.703
1.541 0.203
1.189 0.243
1.217 0.640
1.393 0.419
1.042 0.808
1.220 0.222
0.964 0.875
1.376 0.809
1.825 0.867
1.714 0.824
1.822 0.701
1.035 0.424
1.477 0.894
1.686 0.605
1.650 0.265
1.847 0.548
1.308 0.370
1.886 0.439
1.075 0.056
1.596 0.471
1.816 0.094
1.322 0.638
0.962 0.011
1.458 0.178
1.020 0.175
1.547 0.441
0.994 -0.012
1.767 0.560
1.091 0.779
0.940 0.287
1.767 0.630
1.204 0.812
1.519 0.787
1.815 0.348
1.599 0.468
1.869 0.723
1.651 0.739
1.925 0.183
1.129 0.674
1.699 0.443
1.417 0.333
1.813 0.727
1.516 -0.028
1.784 0.391
1.123 0.233
1.626 -0.060
1.055 0.238
1.824 0.683
1.908 0.480
1.510 0.490
1.465 0.481
1.759 0.894
1.350 0.571
1.250 0.244
1.450 0.530
1.494 0.921
1.108 0.582
1.941 0.683
1.513 0.316
1.351 0.885
1.845 0.619
1.849 0.876
1.798 0.335
1.417 0.748
1.326 0.703
1.436 0.291
1.412 0.072
1.311 0.372
0.976 0.130
1.219 0.816
1.549 0.247
1.958 0.218
1.475 0.701
1.654 0.396
1.740 0.449
1.680 0.456
1.937 0.682
1.058 0.096
1.934 0.197
0.995 0.222
1.449 0.922
1.370 0.694
1.806 0.061
1.584 0.968
1.523 0.508
1.321 0.921
1.945 0.079
1.529 0.396
1.649 0.096
1.244 0.257
1.459 0.773
1.838 0.767
1.658 0.069
1.372 0.651
1.278 0.491
1.890 0.101
1.839 0.091
1.373 0.892
1.189 0.508
1.405 0.876
1.982 0.278
1.483 0.885
1.536 0.206
1.752 0.330
1.479 0.002
1.983 0.652
1.921 0.964
1.264 0.537
1.438 0.757
1.841 0.227
1.274 0.706
1.412 0.131
1.197 0.562
1.601 0.963
1.536 0.612
1.153 0.418
1.285 0.701
1.274 0.221
1.375 0.478
1.347 0.614
1.191 0.889
1.705 0.545
1.070 0.338
1.703 0.658
1.825 0.905
1.330 0.508
1.346 0.143
1.157 0.273
1.106 0.556
1.721 0.582
1.704 0.246
1.220 0.588
1.906 0.444
1.027 0.043
1.329 0.639
1.109 0.249
1.706 1.011
1.368 0.628
1.546 0.051
1.358 0.168
1.280 0.800
1.712 0.072
1.109 0.756
1.136 0.350
1.303 0.083
1.066 0.174
1.435 0.969
1.675 0.279
1.717 0.311
1.554 0.360
1.988 0.392
1.844 0.682
1.885 0.648
1.913 0.448
1.723 0.664
1.572 0.609
1.581 0.439
1.945 0.679
1.597 0.101
1.557 0.224
1.265 0.484
1.597 0.301
1.322 0.582
1.526 0.456
1.157 0.427
1.709 0.599
1.600 0.899
1.780 0.741
1.088 0.366
1.741 0.214
1.973 0.201
1.940 0.277
1.903 0.910
1.398 0.951
1.223 0.913
1.446 0.504
1.183 0.667
1.336 0.733
1.867 0.671
1.077 1.021
1.989 0.713
1.450 0.632
1.954 0.531
1.852 0.671
1.496 1.007
1.483 0.680
1.129 0.546
1.114 0.781
1.078 0.120
1.190 0.218
1.588 0.436
1.351 1.064
1.991 0.736
1.885 0.902
1.329 0.892
1.324 0.647
1.443 0.244
1.863 1.003
1.401 0.967
1.435 0.746
2.085 0.862
1.146 0.525
1.468 0.386
1.909 0.534
1.793 0.729
1.614 0.151
1.769 0.987
1.269 0.739
1.585 0.439
1.809 1.074
1.121 0.997
1.484 0.934
1.276 0.818
1.202 0.438
2.074 0.760
1.889 0.566
1.577 0.598
1.880 0.830
1.301 0.548
1.651 0.680
2.036 0.949
1.260 0.487
1.221 0.138
1.187 0.296
1.880 0.781
1.912 0.403
1.271 1.088
1.943 1.063
1.136 0.514
1.752 0.855
2.032 0.657
1.511 0.126
1.925 1.104
2.030 0.785
1.466 0.363
1.900 1.060
2.086 0.301
1.712 0.640
1.555 0.922
2.064 0.853
1.830 0.820
1.784 0.667
1.380 0.911
1.252 0.777
1.521 0.694
1.776 0.614
2.114 0.375
1.149 1.092
1.450 0.416
1.554 0.734
2.126 0.847
1.459 0.675
1.590 0.643
1.560 0.310
1.539 0.533
1.345 0.962
1.506 0.297
1.714 0.991
1.928 0.770
1.880 0.485
1.292 0.405
1.500 0.430
1.619 0.301
1.283 0.405
1.350 0.955
1.692 0.353
1.585 1.028
1.734 0.711
1.549 0.353
1.784 0.236
1.946 0.217
1.907 0.543
1.844 0.753
1.292 0.701
1.238 0.405
1.546 0.450
1.827 1.153
1.524 1.005
1.393 0.877
1.516 0.704
1.258 0.997
1.380 0.634
1.462 0.982
1.765 0.788
1.928 0.429
1.233 1.003
1.491 0.988
2.133 0.806
1.281 1.032
1.812 0.425
1.388 0.687
1.302 1.087
1.890 1.001
1.567 1.106
1.318 0.900
1.439 0.188
1.307 0.387
1.950 0.565
1.670 0.801
1.456 0.827
1.861 1.111
1.694 1.046
2.159 0.961
1.614 0.465
1.291 1.025
1.324 0.754
1.650 0.241
1.411 1.020
1.736 1.122
2.107 0.293
1.878 0.242
1.623 0.642
2.159 0.797
1.393 0.712
1.726 0.401
1.564 1.082
2.187 0.983
1.271 1.113
1.666 1.042
1.385 0.356
2.116 0.495
1.254 0.712
2.202 1.047
1.609 1.206
2.010 1.056
1.861 0.609
2.121 0.686
2.151 0.769
2.128 0.695
1.646 0.807
1.537 0.369
1.810 1.072
1.499 1.087
2.010 0.998
1.639 1.222
2.016 0.800
1.339 0.800
1.241 1.129
1.564 0.596
1.780 0.866
1.812 0.715
1.865 1.078
1.678 0.732
2.043 0.236
1.394 0.559
1.449 1.131
1.384 0.344
1.554 0.745
2.059 1.233
2.091 0.848
1.277 0.303
1.871 1.061
1.507 1.211
1.793 0.817
1.862 0.319
1.415 1.181
1.513 0.329
1.529 0.973
1.511 0.458
1.526 0.729
1.987 0.551
2.124 1.227
2.074 0.327
1.568 1.179
2.113 0.387
1.697 0.619
2.003 0.284
1.572 1.007
2.145 0.298
1.847 0.922
2.133 0.684
2.234 0.458
1.377 0.392
1.849 0.385
1.530 0.460
1.320 1.227
1.601 1.230
1.990 0.487
2.200 0.277
2.250 0.301
1.523 0.822
1.280 1.035
1.356 1.089
1.308 0.801
1.483 0.563
1.765 0.646
1.668 0.929
1.472 0.458
1.962 0.575
2.212 0.705
1.754 0.303
1.301 0.386
1.907 0.946
2.235 0.715
1.991 0.627
1.359 0.705
1.987 1.090
2.239 1.119
1.851 0.838
1.790 0.766
1.970 0.865
2.148 0.741
1.763 1.124
1.968 0.817
1.857 1.099
1.902 0.554
1.606 0.900
1.343 0.754
2.190 0.530
1.743 0.998
2.225 0.996
1.927 0.685
1.739 0.944
1.659 1.088
1.312 1.055
2.047 0.611
1.321 0.644
1.896 1.094
2.178 0.516
1.391 0.429
2.299 0.955
1.439 1.002
2.271 0.919
1.545 1.275
2.014 0.497
2.081 0.819
1.890 0.682
1.611 0.737
1.844 0.779
2.185 0.393
1.519 1.257
1.929 0.938
1.952 0.565
1.718 0.533
1.476 1.313
2.069 1.204
1.327 1.030
1.634 0.825
2.003 0.359
1.700 0.883
2.204 0.843
1.648 0.935
1.915 0.624
1.881 0.609
1.345 0.645
1.421 0.827
1.837 1.206
2.085 1.086
2.327 0.603
1.712 0.569
1.442 0.855
1.852 0.471
2.264 1.320
1.411 0.346
1.406 1.076
2.197 0.411
1.355 0.884
1.680 0.366
1.357 0.559
1.549 0.644
1.901 0.601
1.584 0.562
2.239 0.590
1.908 0.805
1.685 0.761
1.371 0.540
1.996 1.117
1.575 0.533
2.264 0.456
2.154 1.237
1.506 1.193
1.511 0.404
1.648 0.706
1.952 0.805
2.157 1.029
1.484 0.567
2.112 0.482
2.320 1.178
1.588 0.654
1.621 0.792
1.619 0.402
1.623 0.566
1.722 0.826
2.247 1.032
1.989 1.238
1.761 0.801
1.620 1.206
2.254 1.288
1.983 0.492
1.451 1.176
2.265 0.912
2.302 1.312
2.137 0.752
1.839 0.735
1.780 0.855
1.402 0.512
1.554 0.953
2.258 1.098
1.537 0.846
2.016 0.524
1.470 1.002
1.626 1.036
1.563 1.248
1.703 0.821
1.944 1.280
2.311 1.240
2.080 0.465
1.584 0.932
2.383 1.124
1.591 0.755
2.362 0.908
2.271 1.259
2.184 1.029
2.069 0.745
1.524 1.352
1.438 0.676
2.020 1.371
1.617 0.654
2.256 0.735
1.812 0.769
1.459 1.352
2.109 0.418
1.509 0.547
1.782 1.303
1.555 0.642
1.726 0.926
2.317 0.955
2.320 0.959
1.850 1.289
2.000 0.894
1.932 0.776
1.854 0.495
1.627 1.185
1.557 0.631
1.588 0.787
1.474 0.785
2.036 1.104
2.294 0.514
2.072 0.624
1.771 1.004
2.268 1.101
2.416 0.449
1.748 0.912
1.469 0.485
1.801 0.993
1.570 0.503
1.755 1.177
2.004 1.434
2.043 1.328
2.012 0.920
1.855 0.511
1.504 1.099
2.301 0.461
1.623 0.770
1.757 1.278
1.697 0.751
1.934 1.397
1.741 1.081
1.497 0.879
2.376 0.666
1.806 1.104
2.016 1.027
2.061 1.127
1.776 0.805
1.851 0.976
2.022 1.329
1.852 0.905
2.290 1.428
1.701 1.188
1.707 1.200
1.498 0.967
2.031 1.161
2.379 1.257
2.026 0.960
1.477 1.017
2.027 1.207
1.631 1.055
1.519 1.193
2.290 0.906
2.157 1.131
1.774 0.558
2.229 0.828
1.633 0.914
2.306 1.427
2.041 1.444
1.648 0.965
1.484 0.710
2.354 0.536
2.132 0.988
2.467 1.473
1.603 0.742
2.472 0.811
1.662 1.394
2.100 0.791
2.038 0.911
1.943 1.037
1.656 1.102
2.442 1.079
2.275 0.771
1.644 0.495
2.471 0.609
1.871 1.146
2.227 1.110
1.933 1.308
1.936 1.329
1.549 1.217
1.593 0.884
1.940 0.679
1.947 1.351
1.535 0.693
2.476 0.950
